Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.6992181844,0.7758500000,0.2335223886,0.9292000000
2,0.3713934223,0.8924000000,0.1783338449,0.9465000000
3,0.3130786522,0.9107500000,0.1479727039,0.9543000000
4,0.2809242038,0.9192833333,0.1384474447,0.9593000000
5,0.2613202709,0.9250166667,0.1352768173,0.9603000000
6,0.2416979759,0.9322166667,0.1254354260,0.9634000000
7,0.2335519712,0.9340666667,0.1297011479,0.9643000000
8,0.2230516514,0.9371833333,0.1232687064,0.9655000000
9,0.2183224170,0.9389833333,0.1161134102,0.9681000000
10,0.2084738118,0.9406500000,0.1171799754,0.9659000000
11,0.2075497076,0.9415000000,0.1048073599,0.9704000000
12,0.1979494277,0.9435666667,0.1093518870,0.9709000000
13,0.1931247953,0.9451166667,0.1029566686,0.9735000000
14,0.1926983457,0.9444000000,0.1033262629,0.9730000000
15,0.1886084229,0.9466666667,0.1068492722,0.9709000000
16,0.1857930095,0.9475333333,0.1014613316,0.9734000000
17,0.1827634516,0.9472000000,0.1056446217,0.9726000000
18,0.1753457974,0.9485666667,0.1030576241,0.9729000000
19,0.1792829697,0.9481500000,0.0946138495,0.9738000000
20,0.1763278460,0.9482166667,0.1010945512,0.9737000000
21,0.1722600415,0.9499333333,0.0968185619,0.9732000000
22,0.1723606653,0.9500666667,0.0963429726,0.9744000000
23,0.1696325976,0.9514500000,0.1064904871,0.9734000000
24,0.1690087001,0.9516500000,0.0943873850,0.9753000000
25,0.1675467161,0.9516833333,0.1024948075,0.9735000000
26,0.1704879779,0.9513666667,0.1052125971,0.9740000000
27,0.1663547891,0.9524000000,0.0981215479,0.9747000000
28,0.1614359049,0.9535833333,0.0986067045,0.9755000000
29,0.1596285833,0.9537833333,0.1028272111,0.9749000000
30,0.1625421951,0.9532333333,0.0941496323,0.9748000000
