Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,2.2695179181,0.1815833333,2.1912441537,0.3706000000
2,2.1006502431,0.4936833333,1.9725868326,0.5987000000
3,1.8110734536,0.6393666667,1.5990287916,0.7003000000
4,1.4114406884,0.7172333333,1.1965960332,0.7634000000
5,1.0710718663,0.7654833333,0.9209720917,0.7965000000
6,0.8566407294,0.7956833333,0.7574859419,0.8185000000
7,0.7263731366,0.8172000000,0.6546313494,0.8351000000
8,0.6409075196,0.8326666667,0.5849447751,0.8469000000
9,0.5802926630,0.8456500000,0.5328748903,0.8598000000
10,0.5347950995,0.8558833333,0.4933640440,0.8698000000
11,0.4995793626,0.8641000000,0.4626790188,0.8764000000
12,0.4717588159,0.8705166667,0.4381919327,0.8803000000
13,0.4493107150,0.8762333333,0.4189223830,0.8854000000
14,0.4308460654,0.8804666667,0.4021640195,0.8893000000
15,0.4154249315,0.8838000000,0.3886295412,0.8930000000
16,0.4022231649,0.8868500000,0.3769996274,0.8957000000
17,0.3908404645,0.8895333333,0.3667666707,0.8968000000
18,0.3808687225,0.8918833333,0.3576945995,0.8989000000
19,0.3719688260,0.8941000000,0.3500602613,0.9002000000
20,0.3641195693,0.8966500000,0.3423988561,0.9029000000
21,0.3569586830,0.8979500000,0.3361899651,0.9051000000
22,0.3503347534,0.8999000000,0.3306571659,0.9068000000
23,0.3444116234,0.9015500000,0.3247483348,0.9091000000
24,0.3388311239,0.9026500000,0.3194647023,0.9104000000
25,0.3335918443,0.9041333333,0.3150713277,0.9115000000
26,0.3286830033,0.9058166667,0.3104081825,0.9131000000
27,0.3241373432,0.9064333333,0.3063220522,0.9139000000
28,0.3198313986,0.9079833333,0.3026178225,0.9147000000
29,0.3157176959,0.9087833333,0.2992108568,0.9156000000
30,0.3118081900,0.9105333333,0.2949545409,0.9165000000
