Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.4265185270,0.8869666667,0.2779138831,0.9270000000
2,0.2826433227,0.9241166667,0.2612690563,0.9267000000
3,0.2562338097,0.9328000000,0.2543009397,0.9300000000
4,0.2449901550,0.9356833333,0.2235335080,0.9435000000
5,0.2378587906,0.9388166667,0.2257595192,0.9390000000
6,0.2330719928,0.9394000000,0.2217719859,0.9432000000
7,0.2290036129,0.9412666667,0.2184384660,0.9436000000
8,0.2275724113,0.9414000000,0.2179347880,0.9420000000
9,0.2252711696,0.9432666667,0.2238531082,0.9422000000
10,0.2246067232,0.9423333333,0.2214846648,0.9408000000
11,0.2234562073,0.9427500000,0.2127816285,0.9421000000
12,0.2228242782,0.9433333333,0.2151095139,0.9426000000
13,0.2219968875,0.9438833333,0.2084635827,0.9470000000
14,0.2217774741,0.9436166667,0.2143183597,0.9415000000
15,0.2213806737,0.9433333333,0.2101415824,0.9432000000
16,0.2214902041,0.9437666667,0.2071537667,0.9475000000
17,0.2206724402,0.9437166667,0.2198435855,0.9419000000
18,0.2204370341,0.9436833333,0.2033383668,0.9480000000
19,0.2190822460,0.9441666667,0.2094773896,0.9494000000
20,0.2201388066,0.9438500000,0.2102295595,0.9451000000
21,0.2201324925,0.9439500000,0.2029170858,0.9512000000
22,0.2195095542,0.9446500000,0.2075143401,0.9480000000
23,0.2184163043,0.9448000000,0.2199737764,0.9433000000
24,0.2186821156,0.9442333333,0.2079620776,0.9491000000
25,0.2193172745,0.9439500000,0.2057821928,0.9508000000
26,0.2182307322,0.9445333333,0.2169250165,0.9463000000
27,0.2183543018,0.9442000000,0.2098718880,0.9479000000
28,0.2179614878,0.9449166667,0.2102602889,0.9476000000
29,0.2187200478,0.9446333333,0.2105697241,0.9480000000
30,0.2179231551,0.9442000000,0.2122176139,0.9466000000
