Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.3050350359,0.9148500000,0.1490871939,0.9525000000
2,0.1173938842,0.9647833333,0.1085116834,0.9648000000
3,0.0827516144,0.9750333333,0.0833733204,0.9750000000
4,0.0623705847,0.9807500000,0.0879742274,0.9731000000
5,0.0492752236,0.9838333333,0.1014987541,0.9711000000
6,0.0391832359,0.9877166667,0.0898651440,0.9742000000
7,0.0326471880,0.9895666667,0.0819844301,0.9777000000
8,0.0258903584,0.9917166667,0.0780915637,0.9788000000
9,0.0222320195,0.9922666667,0.0780537471,0.9777000000
10,0.0180983815,0.9943666667,0.0835269069,0.9789000000
11,0.0154955488,0.9947166667,0.0819307768,0.9795000000
12,0.0139469392,0.9951166667,0.0945485272,0.9769000000
13,0.0120575336,0.9962333333,0.1065378809,0.9754000000
14,0.0136792732,0.9951000000,0.0840276099,0.9802000000
15,0.0107252975,0.9964000000,0.1201884469,0.9742000000
16,0.0083767308,0.9972500000,0.1049756261,0.9773000000
17,0.0098232469,0.9963833333,0.1117033461,0.9765000000
18,0.0105434152,0.9965500000,0.1075957964,0.9770000000
19,0.0073835599,0.9972500000,0.1060680539,0.9768000000
20,0.0080042349,0.9973166667,0.1143446625,0.9765000000
21,0.0071400110,0.9976666667,0.1247849136,0.9766000000
22,0.0087584009,0.9970166667,0.1096888519,0.9788000000
23,0.0060853358,0.9980500000,0.1234023611,0.9772000000
24,0.0078876812,0.9969333333,0.1172457570,0.9781000000
25,0.0066489317,0.9978333333,0.1230802175,0.9789000000
26,0.0079856769,0.9972166667,0.1122746454,0.9787000000
27,0.0048999229,0.9985833333,0.1259214920,0.9764000000
28,0.0077668662,0.9975833333,0.1146191171,0.9796000000
29,0.0052257742,0.9983666667,0.1248101442,0.9779000000
30,0.0042546934,0.9986166667,0.1500999817,0.9768000000
