Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.6321704069,0.8358000000,0.4773443069,0.8518000000
2,0.2779151560,0.9208000000,0.2695875484,0.9213000000
3,0.2087664874,0.9409000000,0.2146129829,0.9360000000
4,0.1632266113,0.9527000000,0.2080010284,0.9369000000
5,0.1276868948,0.9641000000,0.2390332985,0.9282000000
6,0.1036150534,0.9679000000,0.2076053595,0.9394000000
7,0.0826343289,0.9762000000,0.1774757791,0.9465000000
8,0.0685107525,0.9804000000,0.1938264367,0.9419000000
9,0.0543424796,0.9853000000,0.1727693881,0.9518000000
10,0.0439002818,0.9881000000,0.1860017775,0.9483000000
11,0.0352378754,0.9906000000,0.1918478551,0.9479000000
12,0.0264114384,0.9942000000,0.1891554541,0.9512000000
13,0.0225673557,0.9942000000,0.1780935134,0.9535000000
14,0.0154021100,0.9967000000,0.2015176884,0.9516000000
15,0.0127467504,0.9969000000,0.2103011671,0.9527000000
16,0.0110535122,0.9970000000,0.2429239026,0.9466000000
17,0.0078380708,0.9987000000,0.2250660232,0.9514000000
18,0.0059850456,0.9989000000,0.2369213235,0.9504000000
19,0.0057921860,0.9985000000,0.2470477393,0.9488000000
20,0.0046367818,0.9988000000,0.2393516793,0.9561000000
21,0.0034596068,0.9992000000,0.2583345928,0.9547000000
22,0.0023253141,0.9996000000,0.2859535617,0.9519000000
23,0.0022750458,0.9995000000,0.2472530279,0.9560000000
24,0.0024444472,0.9990000000,0.2636564480,0.9550000000
25,0.0020368980,0.9991000000,0.2686307548,0.9576000000
26,0.0011548017,0.9997000000,0.2883725920,0.9540000000
27,0.0006723615,0.9998000000,0.2776646675,0.9553000000
28,0.0004106908,1.0000000000,0.2923253642,0.9564000000
29,0.0007119676,0.9999000000,0.3062885525,0.9556000000
30,0.0006591863,0.9999000000,0.3049639783,0.9550000000
31,0.0007992291,0.9997000000,0.3000679598,0.9568000000
32,0.0003475182,0.9999000000,0.3067239070,0.9577000000
33,0.0000994601,1.0000000000,0.3458442192,0.9553000000
34,0.0002528300,1.0000000000,0.3380897437,0.9567000000
35,0.0004948641,0.9999000000,0.3234545031,0.9565000000
36,0.0001740141,1.0000000000,0.3464412954,0.9564000000
37,0.0001019629,1.0000000000,0.3314054270,0.9567000000
38,0.0001713635,0.9999000000,0.3710823539,0.9566000000
39,0.0000551568,1.0000000000,0.3646146271,0.9574000000
40,0.0003422407,0.9999000000,0.3573637962,0.9582000000
41,0.0001501016,0.9999000000,0.3795636161,0.9564000000
42,0.0003260422,0.9999000000,0.3645037261,0.9573000000
43,0.0000614568,1.0000000000,0.3744340606,0.9582000000
44,0.0009325815,0.9998000000,0.3779061220,0.9555000000
45,0.0000118429,1.0000000000,0.3810264336,0.9569000000
46,0.0000876747,1.0000000000,0.3895771974,0.9583000000
47,0.0000079253,1.0000000000,0.4183761512,0.9540000000
48,0.0000077210,1.0000000000,0.3849874036,0.9587000000
49,0.0002993371,0.9999000000,0.4075341786,0.9557000000
50,0.0000005246,1.0000000000,0.4190084372,0.9577000000
