Epoca Perdida Precision
1 0.2401810717 0.9275333333
2 0.1005121029 0.9692333333
3 0.0704032266 0.9783500000
4 0.0575881617 0.9816666667
5 0.0483465685 0.9848500000
6 0.0413105268 0.9868333333
7 0.0357486055 0.9883166667
8 0.0349611903 0.9885166667
9 0.0304760197 0.9894833333
10 0.0295315580 0.9904666667
11 0.0295343766 0.9900833333
12 0.0217367074 0.9926666667
13 0.0283809254 0.9914000000
14 0.0201453780 0.9935333333
15 0.0239746244 0.9921166667
16 0.0182673640 0.9941833333
17 0.0201379842 0.9937333333
18 0.0210670412 0.9934166667
19 0.0208073507 0.9940500000
20 0.0190215629 0.9942500000
