Epoca Perdida Precision
1 0.2445228155 0.9259166667
2 0.1037511240 0.9688833333
3 0.0729412140 0.9778000000
4 0.0547447173 0.9828333333
5 0.0470301464 0.9847500000
6 0.0427916441 0.9865666667
7 0.0377460062 0.9878000000
8 0.0308108208 0.9898166667
9 0.0311130423 0.9904666667
10 0.0279847407 0.9910166667
